path,cluster,keyword,avg_monthly,competition,comp_index,bid_low,bid_high,yoy
1-damage-care,pilling,"how to get rid of pilling on sweatpants",50,Medium,64,0.10,1.29,0%
1-damage-care,pilling,"how to get rid of pilling on sweatshirt",500,High,83,0.08,0.37,900%
1-damage-care,pilling,"how to get rid of pilling on t shirts",50,Low,14,,,0%
1-damage-care,pilling,"how to get rid of pilling on wool coat",50,Unknown,,,,-100%
1-damage-care,pilling,"how to get rid of pilling on wool sweater",50,High,71,,,0%
1-damage-care,pilling,"how to get rid of pilling on yoga pants",50,High,71,,,0%
1-damage-care,pilling,"how to get rid of pills on a sweater",500,High,84,0.09,0.41,0%
1-damage-care,pilling,"how to get rid of pills on cashmere sweater",50,High,100,,,0%
1-damage-care,pilling,"how to get rid of pills on fabric",50,High,90,0.20,1.41,0%
1-damage-care,pilling,"how to get rid of pills on leggings",500,Low,22,0.09,1.35,0%
1-damage-care,pilling,"how to get rid of pills on lululemon leggings",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of pills on pants",50,Medium,36,,,0%
1-damage-care,pilling,"how to get rid of pills on sweatpants",50,Medium,57,,,0%
1-damage-care,pilling,"how to get rid of pills on sweatshirt",50,High,76,0.04,1.27,0%
